Bdataset_number/I:physics_short/C:crossSection_pb/D:kFactor/D:genFiltEff/D:crossSectionTotalRelUncertUP/D
#1;95;0cid/I:name/C:xsec/F:kfac/F:eff/F:relunc/F
# cross-sections are in pb
# DSID	xsec	           k-fac	   eff		      rel. unc.
##########################################################################################################################
# ttbar
407053   34.916            1.027           1.1859E-02         0.0    
407054   33.41             1.073           1.0725E-02         0.0    
407055   32.365            1.054           6.0096E-02         0.0    
407056   34.895            1.027           9.0560E-02         0.0    
407057   33.391            1.073           8.5838E-02         0.0    
407058   32.38             1.054           7.0303E-03         0.0    
407059   34.895            1.027           1.1789E-02         0.0    
407060   33.392            1.073           1.0686E-02         0.0    
407061   34.078            1.054           8.0651E-02         0.0    
407062   34.08             1.054           1.0184E-02         0.0    
407063   34.062            1.054           8.1150E-02         0.0    
407064   34.064            1.054           1.0218E-02         0.0    
410017   40.343            1.09441538805   1.0000E+00         0.0    
410018   44.38             0.994862550699  1.0000E+00         0.0    
410019   23.751            1.10631131321   1.0000E+00         0.0    
410020   26.387            0.995793383105  1.0000E+00         0.0    
410062   32.384            1.054           1.0000E+00         0.0    
410063   32.356            1.054           1.0000E+00         0.0    
410099   34.917            1.027           1.0000E+00         0.0    
410100   33.407            1.073           1.0000E+00         0.0    
410101   34.893            1.027           1.0000E+00         0.0    
410102   33.388            1.073           1.0000E+00         0.0    
410107   2.0755            0.993114912069  1.0000E+00         0.0    
410108   2.0331            1.01382617677   1.0000E+00         0.0    
410109   1.2753            1.0104775347    1.0000E+00         0.0    
410110   1.2514            1.0297762506    1.0000E+00         0.0    
410178   9.6918            1.0             4.2646E-02         0.0    
410179   9.6943            1.0             2.8643E-01         0.0    
###################################################
# WWbb L
407324   2.06893           1.0             1.0000E+00         0.0    
407325   0.0676682953      1.0             1.0000E+00         0.0    
407326   0.348555          1.0             1.0000E+00         0.0     
407327   0.00917491273     1.0             1.0000E+00         0.0    
407328   0.09656833        1.0             1.0000E+00         0.0    
407329   0.0074917505943   1.0             1.0000E+00         0.0    
