DSID	SF	XSEC[pb]	K-FACTOR	FILTEREFF	REL.UNCERT
391894	1	0.00064		1.0			1			0.0
391895	1	0.00034		1.0			1			0.0
391896	1	0.00034		1.0			1			0.0
391897	1	0.00034		1.0			1			0.0
391898	1	0.00034		1.0			1			0.0
391899	1	0.00034		1.0			1			0.0
391900	1	0.00034		1.0			1			0.0
391901	1	0.00034		1.0			1			0.0
391902	1	0.00034		1.0			1			0.0
391903	1	0.00034		1.0			1			0.0
391904	1	0.00034		1.0			1			0.0
391905	1	0.00034		1.0			1			0.0
391906	1	0.00018		1.0			1			0.0
391907	1	0.00018		1.0			1			0.0
391908	1	0.00018		1.0			1			0.0
391909	1	0.00018		1.0			1			0.0
391910	1	0.00018		1.0			1			0.0
391911	1	0.00018		1.0			1			0.0
391912	1	0.00018		1.0			1			0.0
391913	1	0.00018		1.0			1			0.0
391914	1	0.00018		1.0			1			0.0
391915	1	0.00018		1.0			1			0.0
391916	1	0.00018		1.0			1			0.0
